"Month","ETS","ARIMA"
2014-01-01,9304197.65945273,9714361.06910485
2014-02-01,8073653.18865922,8181494.75082697
2014-03-01,6975902.40596306,6737578.35579786
2014-04-01,6204893.18163734,5957335.69224849
2014-05-01,5842199.71259459,5727983.35722316
2014-06-01,7589986.45305693,7534008.80071364
2014-07-01,9117199.09792566,7921050.93154096
2014-08-01,9546785.98886882,9292410.18870448
2014-09-01,9056676.14714262,8182947.99560784
2014-10-01,6541028.78011805,6015720.67090202
2014-11-01,5727865.14745876,5769224.9095824
2014-12-01,7259238.59381438,7484126.95917924
